State,"Effective Date","Valid Through Date",Bans_Prohibit,Limited_Law,Limited_Court,Limited_AG,Prohibit_Req,"Bans_gest_Any point in pregnancy","Bans_gest_Fetal heartbeat detected","Bans_gest_4 weeks postfertilization (6 weeks LMP) ","Bans_gest_6 weeks postfertilization (8 weeks LMP) ","Bans_gest_8 weeks postfertilization (10 weeks LMP)","Bans_gest_10 weeks postfertilization (12 weeks LMP) ","Bans_gest_12 weeks postfertilization (14 weeks LMP)","Bans_gest_13 weeks postfertilization (15 weeks LMP)","Bans_gest_16 weeks postfertilization (18 weeks LMP) ","Bans_gest_18 weeks postfertilization (20 weeks LMP)","Bans_gest_19 weeks postfertilization (21 weeks LMP)","Bans_gest20 weeks postfertilization (22 weeks LMP)","Bans_gest_21 weeks postfertilization (23 weeks LMP) ","Bans_gest_22 weeks postfertilization (24 weeks LMP)","Bans_gest_24 weeks postfertilization (26 weeks LMP)",Bans_gestViability,"Bans_gest_Fetus is capable of feeling pain","Bans_gest_3rd trimester","Prohibit_ExcLife endangerment","Prohibit_ExcSerious health risk","Prohibit_Exc_Fetal anomaly",Prohibit_Exc_Rape,Prohibit_Exc_Incest,Prohibit_Exc_Health,"Exc_Req_Must be performed in a hospital","Exc_ReqMust use a method most likely to result in fetal survival","Exc_Req_Second physician must participate","Exc_Req_Second physician must certify the exception","Exc_Req_Two other physicians must certify the exception","Exc_Req_Second physician must attend the abortion","Exc_Req_No requirements",Reason_Prohibit,Reason_What_Race,Reason_What_Sex,"Reason_What_Down syndrome","Reason_What_Fetal anomaly","Reason_What_Fetal disability","Reason_What_Scientific research",Methods_Prohibit,"Methods_ProcedPartial-birth abortions","Methods_ProcedDismemberment abortions","Methods_Proced_Saline method abortions","Methods_ExcLife endangerment","Methods_ExcSerious health risk","Methods_Exc_Fetal anomaly","Methods_Exc_No exceptions",TriggerBan,Bans_PreRoe
Alabama,2018/12/01,2019/10/28,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,1,1,1,0,1,1,0,0,0,1
Alabama,2019/10/29,2019/11/14,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,1,1,1,0,1,1,0,0,0,1
Alabama,2019/11/15,2022/06/23,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,.,.,.,.,.,.,1,1,1,0,1,1,0,0,0,1
Alabama,2022/06/24,2022/11/01,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,.,.,.,.,.,.,1,1,1,0,1,1,0,0,0,1
Alaska,2018/12/01,2022/11/01,1,1,1,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,1,1,0,0,0,0,0,1,0,0
Arizona,2018/12/01,2021/09/27,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1
Arizona,2021/09/28,2021/09/28,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Arizona,2021/09/29,2022/06/23,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1
Arizona,2022/06/24,2022/06/29,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1
Arizona,2022/06/30,2022/07/10,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1
Arizona,2022/07/11,2022/09/21,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1
Arizona,2022/09/22,2022/09/23,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1
Arizona,2022/09/24,2022/10/06,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1
Arizona,2022/10/07,2022/11/01,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1
